Name,Card ID,Epic ID,Epic,Description,Estimation (h),Assigned To,Status,Origen
"GIGU-22 — QA-03: Testabilidad del ciclo de vida del proyecto","GIGU-22","EP09","Gestión del Ciclo de Vida del Proyecto","Pruebas unitarias del ciclo de vida en pulls-service.","3","Ybañez Esquerre, Miguel","Done","Arrastrada del Sprint 1"
"GIGU-23 — QA-05: Disponibilidad ante fallas de notificación","GIGU-23","EP09","Gestión del Ciclo de Vida del Proyecto","El fallo de notificación ya no bloquea la operación principal; el webhook a Chat se ejecuta de forma desacoplada.","3","Mio Mejia, Andy","Done","Arrastrada del Sprint 1"
"GIGU-24 — CON-10: Eventos publicados en mensajería asíncrona","GIGU-24","EP09","Gestión del Ciclo de Vida del Proyecto","Publicación de eventos de dominio mediante Google Cloud Pub/Sub (reemplaza a RabbitMQ).","5","Oblitas Davila, Mariano","Done","Arrastrada del Sprint 1"
"GIGU-25 — CRN-08: Testabilidad de reglas de negocio sin levantar todo el sistema","GIGU-25","EP09","Gestión del Ciclo de Vida del Proyecto","Tests aislados de reglas de negocio en los servicios de aplicación.","3","Ybañez Esquerre, Miguel","Done","Arrastrada del Sprint 1"
"GIGU-26 — ADR-004: Publicación de eventos de dominio (ProjectStatusChanged)","GIGU-26","EP09","Gestión del Ciclo de Vida del Proyecto","Publicación de eventos vía Pub/Sub al cambiar el estado del proyecto.","4","Oblitas Davila, Mariano","Done","Arrastrada del Sprint 1"
"GIGU-55 — QA-06: Performance de búsquedas paginadas","GIGU-55","EP06","Descubrimiento del Catálogo","Paginación validada con índices del catálogo.","3","Mio Mejia, Andy","Done","Arrastrada del Sprint 1"
"GIGU-56 — CRN-12: Performance al crecer el catálogo","GIGU-56","EP06","Descubrimiento del Catálogo","Validación de performance de búsquedas con índices.","3","Ybañez Esquerre, Miguel","Done","Arrastrada del Sprint 1"
"GIGU-57 — CRN-03: Reputación/notificación por evento (no por joins cross-schema)","GIGU-57","EP06","Descubrimiento del Catálogo","Eventos de chat/notificación entregados por Pub/Sub push, sin joins cross-schema.","4","Oblitas Davila, Mariano","Done","Arrastrada del Sprint 1"
"GIGU-59 — ADR-009: Consumo de eventos de dominio vía suscripción push","GIGU-59","EP06","Descubrimiento del Catálogo","Suscripción push gigu-chat-events-push-chat consumida por el endpoint de eventos de chat.","4","Oblitas Davila, Mariano","Done","Arrastrada del Sprint 1"
"GIGU-63 — PUS-06: Notificación al freelancer al recibir una solicitud","GIGU-63","EP08","Solicitud y Acuerdo de Contratación","Al crear la request, Pulls notifica al freelancer en tiempo real.","5","Oblitas Davila, Mariano","Done","Nueva del Sprint 2"
"GIGU-64 — Webhook interno Pulls → Chat (POST /api/v1/chat/internal/notifications)","GIGU-64","EP08","Solicitud y Acuerdo de Contratación","Llamada interna desde Pulls a Chat para crear la notificación.","4","Oblitas Davila, Mariano","Done","Nueva del Sprint 2"
"GIGU-65 — CON-10: Topic Pub/Sub gigu-chat-events + suscripción push","GIGU-65","EP11","Mensajería Coordinada Cliente-Freelancer","Configuración del topic y la suscripción push en Google Cloud Pub/Sub.","4","Oblitas Davila, Mariano","Done","Nueva del Sprint 2"
"GIGU-67 — Endpoint Pub/Sub push POST /internal/pubsub/chat-events","GIGU-67","EP11","Mensajería Coordinada Cliente-Freelancer","Recepción de eventos de chat por push, validados con token.","3","Oblitas Davila, Mariano","Done","Nueva del Sprint 2"
"GIGU-68 — WebSocket + STOMP en ChatNotificationService (/ws)","GIGU-68","EP11","Mensajería Coordinada Cliente-Freelancer","Endpoint WebSocket y topics STOMP de conversaciones y notificaciones.","5","Oblitas Davila, Mariano","Done","Nueva del Sprint 2"
"GIGU-69 — Suscripción del frontend al WebSocket de notificaciones","GIGU-69","EP11","Mensajería Coordinada Cliente-Freelancer","El frontend escucha /topic/notifications/{userId} y actualiza en tiempo real.","4","Ybañez Esquerre, Miguel","Done","Nueva del Sprint 2"
"GIGU-70 — Chat en tiempo real (/topic/conversations/{conversationId})","GIGU-70","EP11","Mensajería Coordinada Cliente-Freelancer","Mensajes de una conversación entregados en tiempo real por STOMP.","4","Ybañez Esquerre, Miguel","Done","Nueva del Sprint 2"
"GIGU-71 — Fix botón Send Request del cliente (ruta API y envío)","GIGU-71","EP08","Solicitud y Acuerdo de Contratación","Corrección del envío de solicitudes del portal del cliente y de la ruta API.","3","Ybañez Esquerre, Miguel","Done","Nueva del Sprint 2"
"GIGU-72 — Configuración de rewrites y variables de entorno en Vercel","GIGU-72","EP11","Mensajería Coordinada Cliente-Freelancer","Rewrites /api/* por microservicio y VITE_CHAT_WS_URL para el WebSocket.","3","Ybañez Esquerre, Miguel","Done","Nueva del Sprint 2"
"GIGU-73 — Despliegue de ChatNotificationService con trigger Pub/Sub","GIGU-73","EP11","Mensajería Coordinada Cliente-Freelancer","Redepliegue en Cloud Run con la suscripción push apuntando a /internal/pubsub/chat-events.","3","Mio Mejia, Andy","Done","Nueva del Sprint 2"
